CMDLINE /usr/bin/python task_2.1.py
FUNC __main__.evolve 74.9766 1706531337.8047 74.9766 1706531337.9411 1
FUNC __main__.evolve 74.9766 1706531337.9452 74.9766 1706531338.0823 1
FUNC __main__.evolve 74.9766 1706531338.0857 74.9766 1706531338.2225 1
FUNC __main__.evolve 74.9766 1706531338.2263 74.9766 1706531338.3636 1
FUNC __main__.evolve 74.9766 1706531338.3669 74.9766 1706531338.5033 1
FUNC __main__.evolve 74.9766 1706531338.5068 74.9766 1706531338.6433 1
FUNC __main__.evolve 74.9766 1706531338.6467 74.9766 1706531338.7833 1
FUNC __main__.evolve 74.9766 1706531338.7868 74.9766 1706531338.9227 1
FUNC __main__.evolve 74.9766 1706531338.9261 74.9766 1706531339.0627 1
FUNC __main__.evolve 74.9766 1706531339.0663 74.9766 1706531339.2030 1
FUNC __main__.evolve 74.9766 1706531339.2067 74.9766 1706531339.3439 1
FUNC __main__.evolve 74.9766 1706531339.3474 74.9766 1706531339.4843 1
FUNC __main__.evolve 74.9766 1706531339.4876 74.9766 1706531339.6268 1
FUNC __main__.evolve 74.9766 1706531339.6301 74.9766 1706531339.7687 1
FUNC __main__.evolve 74.9766 1706531339.7724 74.9766 1706531339.9120 1
FUNC __main__.evolve 74.9766 1706531339.9154 74.9766 1706531340.0555 1
FUNC __main__.evolve 74.9766 1706531340.0595 74.9766 1706531340.2039 1
FUNC __main__.evolve 74.9766 1706531340.2073 74.9766 1706531340.3455 1
FUNC __main__.evolve 74.9766 1706531340.3491 74.9766 1706531340.4864 1
FUNC __main__.run_experiment 43.0430 1706531312.7298 75.1914 1706531340.7166 0
MEM 74.976562 1706531338.1105
MEM 74.976562 1706531338.2108
MEM 74.976562 1706531338.3111
MEM 74.976562 1706531338.4114
MEM 74.976562 1706531338.5117
MEM 74.976562 1706531338.6120
MEM 74.976562 1706531338.7123
MEM 74.976562 1706531338.8126
MEM 74.976562 1706531338.9129
MEM 74.976562 1706531339.0132
MEM 74.976562 1706531339.1135
MEM 74.976562 1706531339.2138
MEM 74.976562 1706531339.3141
MEM 74.976562 1706531339.4144
MEM 74.976562 1706531339.5147
MEM 74.976562 1706531339.6150
MEM 74.976562 1706531339.7153
MEM 74.976562 1706531339.8156
MEM 74.976562 1706531339.9161
MEM 74.976562 1706531340.0164
MEM 74.976562 1706531340.1167
MEM 74.976562 1706531340.2170
MEM 74.976562 1706531340.3174
MEM 74.976562 1706531340.4177
MEM 74.976562 1706531340.5180
MEM 83.664062 1706531340.6184
MEM 75.191406 1706531340.7189
